Date,Open,High,Low,Close,Adj Close,Volume
2018-11-20,42450,43000,42100,42800,39370.30859,9420664
2018-11-21,41800,42300,41800,42100,38726.40234,10769589
2018-11-22,42000,42650,42000,42450,39048.35938,5970796
2018-11-23,42450,42600,41900,42400,39002.35938,5192638
2018-11-26,42150,42800,42100,42600,39186.33594,6613009
2018-11-27,42900,43100,42500,43050,39600.27734,8367091
2018-11-28,42800,43200,42750,43150,39692.26563,6943099
2018-11-29,43850,43850,42900,43150,39692.26563,8473511
2018-11-30,43450,44000,41750,41850,38496.44141,19775519
2018-12-03,42750,43400,42400,43250,39784.25391,12110702
2018-12-04,42650,42900,41900,42150,38772.39844,14347746
2018-12-05,40900,41750,40850,41450,38128.49219,12631983
2018-12-06,40600,41100,40450,40500,37254.62109,14251826
2018-12-07,40900,41400,40850,40950,37668.55859,11433083
2018-12-10,40450,40650,40000,40200,36978.66016,14892263
2018-12-11,40600,40700,40200,40250,37024.65234,10638766
2018-12-12,40250,40700,40150,40450,37208.62109,12024279
2018-12-13,40650,40750,40000,40000,36794.67578,26254646
2018-12-14,40200,40200,38700,38950,35828.82031,19671783
2018-12-17,38650,39600,38650,39150,36012.80078,11532968
2018-12-18,38300,39200,38300,38900,35782.82813,11042101
2018-12-19,38900,39350,38850,39100,35966.79688,9942037
2018-12-20,38600,39100,38500,38650,35552.86328,11937617
2018-12-21,38200,38650,38100,38650,35552.86328,14947080
2018-12-24,38500,39050,38300,38800,35690.84375,9729530
2018-12-26,38400,38750,38300,38350,35276.90234,12707675
2018-12-27,38700,38800,38100,38250,35512.72266,10510643
2018-12-28,38250,38900,38200,38700,35930.51953,9900267
2019-01-02,39400,39400,38550,38750,35976.94922,7847664
2019-01-03,38300,38550,37450,37600,34909.24609,12471493
2019-01-04,37450,37600,36850,37450,34769.98047,14108958
2019-01-07,38000,38900,37800,38750,35976.94922,12748997
2019-01-08,38000,39200,37950,38100,35373.46094,12756554
2019-01-09,38650,39600,38300,39600,36766.11719,17452708
2019-01-10,40000,40150,39600,39800,36951.80469,14731699
2019-01-11,40350,40550,39950,40500,37601.71484,11661063
2019-01-14,40450,40700,39850,40050,37183.91016,11984996
2019-01-15,40050,41100,39850,41100,38158.76953,11492756
2019-01-16,41150,41450,40700,41450,38483.72656,8491595
2019-01-17,41700,42100,41450,41950,38947.94531,11736903
2019-01-18,42000,42400,41950,42300,39272.89453,11029256
2019-01-21,42700,42750,41900,42750,39690.69531,11355701
2019-01-22,42750,42850,41850,42150,39133.63281,9964356
2019-01-23,41350,42250,41350,42000,38994.36719,11071079
2019-01-24,43050,43100,42350,43050,39969.22656,14747623
2019-01-25,44300,44750,43750,44750,41547.56641,22789395
2019-01-28,45000,45500,44600,45050,41826.10156,17998914
2019-01-29,45050,45500,44350,45500,42243.89453,16215017
2019-01-30,44800,46400,44800,46400,43079.48828,17505980
2019-01-31,46650,47050,46150,46150,42847.38281,21621145
2019-02-01,46650,46950,46250,46350,43033.07031,13832454
2019-02-07,46800,47100,46200,46200,42893.80469,15872001
2019-02-08,45700,45700,44650,44800,41593.99219,12689196
2019-02-11,44500,45000,44250,45000,41779.67578,11125044
2019-02-12,44650,46250,44650,46050,42754.53516,13184367
2019-02-13,46400,46700,46000,46200,42893.80469,11299738
2019-02-14,46600,47500,46150,47500,44100.76953,17259341
2019-02-15,46750,46850,45650,46050,42754.53516,10554643
2019-02-18,46500,46850,45850,46200,42893.80469,8183728
2019-02-19,45850,46150,45450,45950,42661.69141,6741395
2019-02-20,46750,47100,46500,46900,43543.71094,11506720
2019-02-21,46500,47200,46200,46950,43590.13281,8694009
2019-02-22,46500,47150,46450,47150,43775.82031,6895772
2019-02-25,47400,47550,47050,47350,43961.50391,7484716
2019-02-26,47350,47450,46500,46750,43404.44141,7985547
2019-02-27,47000,47250,46750,46750,43404.44141,8045211
2019-02-28,46400,46500,45100,45100,41872.52734,23569321
2019-03-04,46000,46100,44800,44850,41640.41797,12926539
2019-03-05,44600,45100,44150,44250,41083.34766,10612405
2019-03-06,44000,44300,43700,44000,40851.24609,10202544
2019-03-07,43400,44950,43400,44450,41269.03906,11049749
2019-03-08,44450,44800,43800,43800,40665.55859,7729069
2019-03-11,44400,44450,43650,43650,40526.28516,10717408
2019-03-12,44300,44950,44150,44650,41454.72266,11431977
2019-03-13,44250,44450,43700,43850,40711.97656,8108343
2019-03-14,43700,44300,43550,43850,40711.97656,18039161
2019-03-15,43800,44250,43700,44200,41036.92969,16814163
2019-03-18,43950,44150,43450,43700,40572.71094,8188876
2019-03-19,43750,43900,43550,43900,40758.39844,7609563
2019-03-20,43800,44200,43100,44050,40897.66797,9846242
2019-03-21,44600,46250,44050,45850,42568.84766,21138016
2019-03-22,46850,47000,46250,46550,43218.75781,12535911
2019-03-25,45300,45650,44800,45500,42243.89453,8699728
2019-03-26,45500,45700,44900,45250,42011.78516,9729811
2019-03-27,44750,45600,44250,45350,42104.625,9568081
2019-03-28,44950,45200,44300,44850,41968.01563,6821306
2019-03-29,44500,44900,44200,44650,41780.86328,11491713
2019-04-01,45200,45450,44850,45050,42155.16016,7362129
2019-04-02,45550,46100,45350,45750,42810.17578,9480688
2019-04-03,46750,46750,45800,46600,43605.55469,12436570
2019-04-04,46150,47100,46150,46950,43933.07031,12650168
2019-04-05,46950,47550,46600,46850,43839.49609,8546339
2019-04-08,47250,47250,46150,46650,43652.34766,8507909
2019-04-09,46700,46950,46200,46650,43652.34766,6878761
2019-04-10,46400,46700,46050,46700,43699.13672,11883995
2019-04-11,46700,46800,46150,46250,43278.04688,13697399
2019-04-12,46050,46900,46000,46850,43839.49609,7668936
2019-04-15,47150,47500,47000,47050,44026.64063,8733019
2019-04-16,47400,47400,46800,47250,44213.79688,7730881
2019-04-17,47300,47600,47000,47050,44026.64063,5513658
2019-04-18,47200,47250,45500,45600,42669.81641,12808747
2019-04-19,45750,46000,45250,45300,42389.09375,8479710
2019-04-22,45400,45900,45100,45350,42435.88281,6006957
2019-04-23,45050,45500,45000,45200,42295.52344,6920566
2019-04-24,45400,45650,44150,44750,41874.4375,13299267
2019-04-25,44250,45000,44100,44650,41780.86328,10868965
2019-04-26,44200,45000,43800,44850,41968.01563,9739982
2019-04-29,45150,46150,45100,46150,43184.47656,8777517
2019-04-30,46000,46300,45350,45850,42903.75781,11121273
2019-05-02,45500,46150,45400,45900,42950.53906,8625126
2019-05-03,45900,46050,45300,45300,42389.09375,6562916
2019-05-07,45250,45300,44400,44850,41968.01563,12014907
2019-05-08,44300,44850,44200,44250,41406.5625,10398754
2019-05-09,43900,44250,42450,42450,39722.23438,23029718
2019-05-10,42600,43450,42450,42900,40143.32422,14579512
2019-05-13,42500,43200,42350,42650,39909.37891,7635079
2019-05-14,41300,43100,41300,42650,39909.37891,11563730
2019-05-15,42700,43050,42550,42550,39815.80469,7670185
2019-05-16,42350,42400,41350,41550,38880.0625,13687828
2019-05-17,41950,42050,40850,41200,38552.55469,13357951
2019-05-20,41650,42100,41550,42000,39301.14844,15752397
2019-05-21,42600,43950,42350,43150,40377.25,18812133
2019-05-22,43700,43800,42400,43500,40704.76563,11033339
2019-05-23,43900,44000,43250,43850,41032.27344,12259006
2019-05-24,43800,43800,42400,42700,39956.16797,13966305
2019-05-27,42500,43000,42350,42650,39909.37891,8066669
2019-05-28,42550,42950,42150,42550,39815.80469,24506881
2019-05-29,41850,42100,41300,41800,39114,14930618
2019-05-30,42200,42700,42150,42550,39815.80469,11766018
2019-05-31,42600,42800,42150,42500,39769.01953,11365999
2019-06-03,42950,43900,42500,43800,40985.48438,15466580
2019-06-04,43400,43700,43000,43450,40657.96875,9913497
2019-06-05,44050,44200,43700,43900,41079.0625,12464135
2019-06-07,43600,44350,43450,44200,41359.78125,11683682
2019-06-10,44300,44850,44050,44800,41921.22656,8792182
2019-06-11,44800,45000,44550,44850,41968.01563,6664872
2019-06-12,44800,45050,44300,44600,41734.07422,8607439
2019-06-13,44200,44400,43400,43750,40938.69531,16906541
2019-06-14,43750,44150,43300,44000,41172.62891,9322873
2019-06-17,43750,44050,43400,43900,41079.0625,11890424
2019-06-18,43750,44500,43650,44350,41500.14453,7994928
2019-06-19,45450,45450,45000,45350,42435.88281,10417690
2019-06-20,44850,45500,44850,45500,42576.24219,7147785
2019-06-21,45750,45800,45200,45700,42763.39453,9454913
2019-06-24,45200,45800,45200,45500,42576.24219,6085066
2019-06-25,45200,45800,45200,45600,42669.81641,7076774
2019-06-26,45800,46000,45600,45700,42763.39453,9226097
2019-06-27,46000,46600,45750,46500,43851.66797,12603534
2019-06-28,47000,47000,46700,47000,44323.19141,12949231
2019-07-01,47350,47400,46250,46600,43945.97266,11383522
2019-07-02,46200,46900,45850,46250,43615.90234,8463073
2019-07-03,45750,46350,45200,45400,42814.31641,9669368
2019-07-04,45250,46200,45250,46000,43380.14063,6365573
2019-07-05,45950,45950,45250,45650,43050.07422,7235395
2019-07-08,44750,44800,44350,44400,41871.26953,7823843
2019-07-09,44850,45450,44700,45100,42531.40234,7646421
2019-07-10,45550,46150,45500,45550,42955.77344,9253930
2019-07-11,46350,46550,46150,46200,43568.75,10989751
2019-07-12,46350,46400,45800,46300,43663.05859,5245804
2019-07-15,45950,46650,45750,46450,43804.51563,4717226
2019-07-16,46450,46850,46300,46850,44181.73438,7407824
2019-07-17,46150,46350,45950,46050,43427.29688,5216602
2019-07-18,46450,46450,45650,46100,43474.44922,5143554
2019-07-19,46650,46950,46600,46800,44134.58203,8819393
2019-07-22,46800,47300,46600,47200,44511.80078,9009109
2019-07-23,47350,47550,47050,47300,44606.10547,9061381
2019-07-24,47100,47150,46250,46400,43757.35938,8756522
2019-07-25,47150,47200,46600,47200,44511.80078,8408838
2019-07-26,46650,47150,46550,47150,44464.65234,7873886
